VEH_NUMBER,VEH_TYPE,VEH_TEXT,VEH_BRAND,VEH_MODEL,VEH_PATENT,NAME_EFF_DATE,OWNER,REG_OWNER,REG_CNTRY,REG_DATE,VEH_MODE,CLF_EFDT,VEH_STATUS,VEH_ID,LGTUD,ANCHO,ALTURA,CARRIER,CLASS_GRP,WGT_UOM,VOL_UOM
234-69-6785,311859380-6,Integer a nibh.,Cadillac,DeVille,NM0KS6BN2AT880694,7/28/2021,Tedi Tringham,Abbye Abramzon,PA,1/10/2021,5,12/1/2020,1,3021,17.086,21.375,15.05,n/a,76377,1443,17736
324-22-9329,786357299-1,Quisque ut erat.,GMC,Sonoma,KNALW4D40F6999433,5/1/2022,Sheila Pulsford,Edwina Guillotin,NG,3/10/2022,5,1/23/2021,2,6687,29.05,26.696,13.679,Military/Government/Technical,1036,89029,51398
799-19-3093,537879576-1,Donec quis orci eget orci vehicula condimentum.,Pontiac,Bonneville,JN8AZ1MU9CW224936,5/21/2021,Taddeusz Di Bartolommeo,Sianna Janeway,NG,8/26/2020,3,2/26/2021,2,7661,29.105,10.921,6.551,Electronic Components,28436,50993,84105
318-87-0573,937713429-3,Pellentesque at nulla.,BMW,530,SCBLF34F82C794195,6/12/2022,Reggi Shawe,Clevie Marks,NG,11/24/2020,2,2/4/2022,1,9484,25.985,5.626,24.08,Biotechnology: Electromedical & Electrotherapeutic Apparatus,48835,16392,92793
702-53-0287,499715625-6,In congue. Etiam justo. Etiam pretium iaculis justo.,Ford,Freestar,2G4GT5GK3C9876481,5/10/2021,Dona Brough,Paten Gallimore,JP,4/28/2022,3,8/30/2020,2,7722,27.394,19.584,23.976,Real Estate,80084,51129,21091
493-57-2009,880807449-8,Nunc rhoncus dui vel sem.,Lincoln,MKX,SCBZK22EX2C499514,3/1/2022,Renee Cunniffe,Korey Wimpey,ID,2/7/2022,2,5/23/2022,2,2585,29.636,10.958,7.292,Advertising,21194,72553,5840
283-82-3483,714905256-8,Fusce consequat.,Ford,Mustang,WAUVT64B12N616272,3/14/2022,Zachary Matveyev,Homere Abyss,IE,10/4/2020,4,5/17/2021,0,4752,24.008,8.83,18.934,Major Banks,52322,34042,6288
877-75-9328,882801044-4,Suspendisse potenti. Cras in purus eu magna vulputate luctus.,Volkswagen,Golf III,YV126MFK3F2728135,5/23/2021,Shermy Hussell,Lester MacFarlan,ID,1/11/2021,1,1/2/2021,2,3051,28.911,29.609,24.728,Semiconductors,43737,73972,30521
448-76-1595,080739464-5,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,Ford,Ranger,1G4GC5EC7BF128530,6/14/2022,Vanya Cockerell,Todd Dericut,CN,2/13/2022,1,6/19/2021,2,2850,6.702,7.376,21.895,Oilfield Services/Equipment,42520,18517,8462
579-15-3698,918786536-X,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",BMW,M5,19UYA42521A776661,7/2/2020,Danni Spruce,Kial Eddisford,CN,9/10/2021,4,11/7/2021,0,8541,22.299,13.56,10.585,n/a,9008,78048,76920
257-15-3199,978969954-9,In sagittis dui vel nisl.,Chevrolet,Monte Carlo,5NPDH4AE0CH352658,3/11/2021,Stuart Bull,Wandis Perris,CN,1/12/2022,5,12/31/2021,0,3396,17.413,20.806,20.373,Semiconductors,87839,58310,26319
814-52-5577,413067837-X,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",Toyota,Sienna,1G6DA8EG1A0175283,7/6/2020,Agnesse Rosita,Nathalia Coxen,ID,2/17/2022,1,4/29/2022,0,5758,29.915,25.836,4.816,Telecommunications Equipment,74727,73756,56672
117-50-4175,540111131-2,Nulla mollis molestie lorem.,BMW,3 Series,1G6DL8E3XC0932093,9/2/2021,Pinchas Hinkins,Claudine Casey,PH,4/30/2021,1,12/31/2021,1,2766,15.228,0.842,22.083,n/a,35127,66290,12778
388-17-4110,462988148-4,Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,Mercury,Tracer,WAUSGAFB8AN324463,11/21/2021,Stewart Balch,Sammy MacCahee,FR,11/23/2021,3,11/14/2020,0,2496,29.66,15.742,7.893,Packaged Foods,57107,40481,79166
636-62-6409,905998351-3,Nulla ut erat id mauris vulputate elementum.,GMC,Acadia,1FADP5CU6FL980890,5/6/2022,Roda Bisseker,Ardyce Stubbins,RU,2/24/2022,5,8/7/2021,2,4276,15.626,6.959,23.285,Rental/Leasing Companies,72963,12979,56378
124-10-9596,482919640-8,Suspendisse potenti. In eleifend quam a odio.,Ford,F-Series,3C63DRKL0CG582217,1/27/2022,Andrej Twidale,Claire Brunini,SZ,2/20/2021,4,7/27/2020,2,1653,7.395,28.943,13.896,Oil & Gas Production,21378,57886,86290
714-36-1201,244968010-1,Nulla facilisi.,Dodge,Dakota,WBA3C3C50EP575854,12/29/2020,Guinna Jovicevic,Tally Dodge,US,9/6/2021,1,3/3/2021,1,4066,4.885,15.926,7.311,Natural Gas Distribution,79637,99016,32382
506-31-3342,589968365-1,Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.,Saturn,Sky,WAUSF78E77A441769,10/3/2020,Creight Joynson,Ronnie Bussen,PL,9/22/2020,1,1/2/2021,0,6045,6.365,2.231,8.463,n/a,44491,14331,68813
